Grid_ID,Latitude,Longitude,Ship_Count,Density,어선,여객선,화물선,유조선,예인선,수상레저기구,기타선,avg_speed,avg_dir
GR3_F1L44_R,37.075,123.875,18,0.74,17,0,0,0,0,0,1,0.0,0.0
GR3_F4H32_F,34.425,127.275,18,0.27,18,0,0,0,0,0,0,0.0,0.0
GR3_G1E43_B,38.225,128.575,18,6.28,16,0,1,0,0,0,1,0.0,0.0
GR3_G3A43_Y,35.025,128.725,18,0.2,15,0,0,0,0,0,3,0.0,0.0
GR3_G3B32_M,35.375,129.375,18,29.74,2,0,2,7,6,0,1,0.0,0.0
GR3_G3E12_V,34.775,128.325,18,1.94,12,0,0,0,2,0,4,0.0,0.0
GR3_F4C21_B,35.975,126.575,17,11.25,1,0,6,0,3,0,7,0.0,0.0
GR3_F4C33_M,35.125,126.125,17,0.77,13,0,0,0,0,1,3,0.0,0.0
GR3_F4H24_T,34.575,127.975,17,53.0,3,0,6,2,0,0,6,0.0,0.0
GR3_F4K41_X,33.275,126.675,17,0.43,9,0,0,0,0,1,7,0.0,0.0
GR3_G1N34_N,36.125,129.425,17,0.81,14,0,0,0,3,0,0,0.0,0.0
GR3_G3A43_W,35.025,128.625,17,4.06,5,0,1,0,6,0,5,0.0,0.0
GR3_G3B34_G,35.175,129.325,17,9.94,13,0,3,1,0,0,0,0.0,0.0
GR3_G3C33_A,35.225,130.025,17,3.01,11,0,0,0,0,0,6,0.0,0.0
GR3_G3E23_F,34.675,128.525,17,3.64,3,0,0,10,2,0,2,0.0,0.0
GR3_F2K31_W,37.275,126.125,16,2.17,8,0,2,0,0,1,5,63.60109289617486,124.65744535519126
GR3_F2O13_H,36.675,126.125,16,0.54,2,0,0,0,0,1,13,92.88570127504553,172.27504553734062
GR3_F4G43_B,34.225,126.575,16,0.82,13,3,0,0,0,0,0,69.96994535519126,162.34585610200364
GR3_F4G43_F,34.175,126.525,16,0.14,15,0,0,0,0,1,0,0.0,0.0
GR3_F4H32_G,34.425,127.325,16,0.28,16,0,0,0,0,0,0,0.0,0.0
GR3_F4H34_M,34.125,127.375,16,25.21,0,0,11,5,0,0,0,0.0,0.0
GR3_F4J33_O,33.125,125.225,16,3.09,16,0,0,0,0,0,0,0.0,0.0
GR3_F4N21_E,32.975,125.725,16,15.56,14,0,2,0,0,0,0,0.0,0.0
GR3_G3B34_D,35.225,129.425,16,8.7,13,0,1,2,0,0,0,0.0,0.0
GR3_G3B42_Q,35.325,129.825,16,3.17,9,0,0,0,0,0,7,0.0,0.0
GR3_G3E14_D,34.725,128.425,16,0.09,16,0,0,0,0,0,0,0.0,0.0
GR3_G3E21_N,34.875,128.675,16,100.0,2,0,1,0,8,0,5,0.0,0.0
GR3_F4C33_S,35.075,126.175,15,0.64,14,0,0,0,0,0,1,0.0,0.0
GR3_F4G32_P,34.325,126.275,15,1.51,10,0,2,0,0,0,3,0.0,0.0
GR3_F4G41_Y,34.275,126.725,15,0.21,13,0,0,0,0,0,2,0.0,0.0
GR3_F4H13_I,34.675,127.175,15,0.23,14,0,0,0,0,1,0,0.0,0.0
GR3_F4H23_O,34.625,127.725,15,0.67,15,0,0,0,0,0,0,0.0,0.0
GR3_F4H33_N,34.125,127.175,15,18.32,0,0,9,6,0,0,0,0.0,0.0
GR3_F4N33_O,32.125,125.225,15,0.55,2,0,0,0,0,0,13,0.0,0.0
GR3_G3A44_U,35.025,128.775,15,45.96,0,0,8,2,0,0,5,0.0,0.0
GR3_G3B23_S,35.575,129.675,15,20.69,7,0,7,0,0,1,0,17.892418032786885,127.91382058287796
GR3_G3B32_J,35.425,129.475,15,14.35,6,0,1,8,0,0,0,0.0,0.0
GR3_G3B34_P,35.075,129.275,15,2.29,9,0,3,0,0,0,3,0.0,0.0
GR3_G3B42_M,35.375,129.875,15,2.42,9,0,0,0,0,0,6,0.0,0.0
GR3_G3E12_G,34.925,128.325,15,0.73,10,1,0,0,1,0,3,0.0,0.0
GR3_G3E21_H,34.925,128.625,15,16.24,0,0,0,0,10,0,5,0.0,0.0
GR3_G3E21_T,34.825,128.725,15,0.41,15,0,0,0,0,0,0,0.0,0.0
GR3_G3E23_B,34.725,128.575,15,0.25,14,0,0,0,0,0,1,0.0,0.0
GR3_G3F11_V,34.775,129.075,15,24.8,7,0,5,3,0,0,0,0.0,0.0
GR3_F2K34_Y,37.025,126.475,14,1.1,12,0,0,0,0,0,2,0.0,0.0
GR3_F4C33_X,35.025,126.175,14,1.85,11,0,0,0,0,0,3,0.0,0.0
GR3_F4G32_Q,34.325,126.325,14,0.2,11,0,1,0,0,0,2,0.0,0.0
GR3_F4G43_G,34.175,126.575,14,0.9,11,2,0,0,0,0,1,0.0,0.0
GR3_F4H24_C,34.725,127.875,14,15.57,3,0,6,4,0,0,1,0.0,0.0
GR3_F4H32_E,34.475,127.475,14,1.26,10,0,0,0,0,0,4,0.0,0.0
GR3_F4H32_N,34.375,127.425,14,3.09,2,0,2,0,7,1,2,29.523907103825138,186.97939435336977
GR3_F4H32_S,34.325,127.425,14,4.06,6,0,1,0,4,1,2,0.0,0.0
GR3_F4J33_C,33.225,125.125,14,2.62,12,0,0,0,0,0,2,0.0,0.0
GR3_F4K43_A,33.225,126.525,14,1.27,3,0,0,0,0,0,11,0.0,0.0
GR3_G3A43_R,35.075,128.625,14,0.4,13,0,0,0,0,0,1,0.0,0.0
GR3_G3B33_O,35.125,129.225,14,6.01,5,0,0,5,0,1,3,0.0,0.0
GR3_G3B34_X,35.025,129.425,14,0.53,3,0,0,0,0,2,9,0.0,0.0
GR3_G3B41_L,35.375,129.575,14,1.8,11,0,0,0,0,0,3,0.0,0.0
GR3_G3B43_P,35.075,129.525,14,1.03,12,0,0,0,0,0,2,0.0,0.0
GR3_G3E14_J,34.675,128.475,14,3.56,4,0,0,6,2,0,2,0.0,0.0
GR3_G3F12_G,34.925,129.325,14,23.11,1,0,6,0,0,6,1,0.0,0.0
GR3_F2K41_N,37.375,126.675,13,90.83,1,0,0,3,2,0,7,0.0,0.0
GR3_F2N42_L,36.375,125.825,13,22.92,2,0,8,3,0,0,0,0.0,0.0
GR3_F4G34_J,34.175,126.475,13,0.33,13,0,0,0,0,0,0,0.0,0.0
GR3_F4H13_M,34.625,127.125,13,0.42,11,0,0,0,0,0,2,0.0,0.0
GR3_F4H42_D,34.475,127.925,13,16.55,4,3,0,2,4,0,0,0.0,0.0
GR3_F4I23_R,33.575,124.625,13,19.17,10,0,3,0,0,0,0,0.0,0.0
GR3_F4N21_D,32.975,125.675,13,1.1,13,0,0,0,0,0,0,0.0,0.0
GR3_F4N34_F,32.175,125.275,13,0.54,4,0,0,0,0,0,9,0.0,0.0
GR3_G1E41_K,38.375,128.525,13,0.67,13,0,0,0,0,0,0,0.0,0.0
GR3_G1N32_M,36.375,129.375,13,2.09,12,0,0,0,0,0,1,0.0,0.0
GR3_G3B21_Q,35.825,129.575,13,4.22,7,0,2,2,1,0,1,0.0,0.0
GR3_G3B21_V,35.775,129.575,13,5.25,5,0,3,1,2,0,2,0.0,0.0
GR3_G3B32_N,35.375,129.425,13,9.07,1,0,0,10,1,0,1,0.0,0.0
GR3_G3B32_Y,35.275,129.475,13,5.02,12,0,1,0,0,0,0,0.0,0.0
GR3_G3B33_V,35.025,129.075,13,55.06,0,0,9,3,0,0,1,0.0,0.0
GR3_G3B34_F,35.175,129.275,13,5.57,6,0,0,6,0,0,1,0.0,0.0
GR3_G3B41_E,35.475,129.725,13,4.59,13,0,0,0,0,0,0,0.0,0.0
GR3_G3B41_P,35.325,129.525,13,4.69,11,0,1,1,0,0,0,0.0,0.0
GR3_G3B44_E,35.225,129.975,13,2.86,7,0,0,0,0,0,6,0.0,0.0
GR3_G3E11_N,34.875,128.175,13,0.35,11,0,0,0,0,0,2,0.0,0.0
GR3_G3E12_Q,34.825,128.325,13,1.44,10,0,1,0,1,0,1,0.0,0.0
GR3_G3E21_C,34.975,128.625,13,0.58,7,0,1,0,3,0,2,0.0,0.0
GR3_G3E21_V,34.775,128.575,13,0.1,12,0,0,0,1,0,0,0.0,0.0
GR3_G3E22_C,34.975,128.875,13,0.81,8,0,0,3,2,0,0,0.0,0.0
GR3_G3F12_F,34.925,129.275,13,4.04,5,0,1,2,0,0,5,0.0,0.0
GR3_F2N42_V,36.275,125.825,12,19.33,6,0,4,2,0,0,0,0.0,0.0
GR3_F2N44_B,36.225,125.825,12,22.67,0,0,5,4,0,0,3,0.0,0.0
GR3_F2O22_A,36.975,126.775,12,10.81,0,0,4,0,1,0,7,0.0,0.0
GR3_F4G42_U,34.275,126.775,12,0.13,9,0,0,0,0,0,3,0.0,0.0
GR3_F4H24_H,34.675,127.875,12,14.28,0,0,3,4,0,0,5,0.0,0.0
GR3_F4H32_P,34.325,127.275,12,1.91,3,0,4,0,4,0,1,0.0,0.0
GR3_F4I22_W,33.775,124.875,12,7.69,10,2,0,0,0,0,0,0.0,0.0
GR3_F4J43_D,33.225,125.675,12,64.38,10,0,2,0,0,0,0,0.0,0.0
GR3_F4K34_B,33.225,126.325,12,13.53,5,0,1,0,1,0,5,0.0,0.0
GR3_F4N34_K,32.125,125.275,12,1.22,3,0,0,0,0,0,9,0.0,0.0
GR3_G1E32_D,38.475,128.425,12,23.21,11,0,0,0,0,0,1,0.0,0.0
GR3_G1J13_W,37.525,129.125,12,8.74,4,2,3,0,0,0,3,0.0,0.0
GR3_G1N43_Q,36.075,129.575,12,0.39,9,0,0,0,0,0,3,0.0,0.0
GR3_G3A43_X,35.025,128.675,12,0.61,9,0,0,0,2,0,1,0.0,0.0
GR3_G3B14_X,35.525,129.425,12,100.0,1,0,4,2,4,0,1,0.0,0.0
GR3_G3B33_H,35.175,129.125,12,0.95,6,1,0,0,0,4,1,0.0,0.0
GR3_G3B34_E,35.225,129.475,12,10.15,7,0,5,0,0,0,0,0.0,0.0
GR3_G3B34_V,35.025,129.325,12,2.76,7,0,0,3,0,0,2,0.0,0.0
GR3_G3B42_G,35.425,129.825,12,2.04,9,0,0,0,0,0,3,0.0,0.0
GR3_G3B42_S,35.325,129.925,12,1.76,10,0,0,0,0,0,2,0.0,0.0
GR3_G3C31_U,35.275,130.025,12,2.73,6,0,0,0,0,0,6,0.0,0.0
GR3_G3E14_K,34.625,128.275,12,0.61,9,0,0,0,2,0,1,0.0,0.0
GR3_G3E21_A,34.975,128.525,12,0.1,12,0,0,0,0,0,0,0.0,0.0
GR3_G3E21_J,34.925,128.725,12,0.71,11,0,0,0,1,0,0,0.0,0.0
GR3_G3E21_P,34.825,128.525,12,0.1,12,0,0,0,0,0,0,0.0,0.0
GR3_G3E22_G,34.925,128.825,12,49.24,4,0,6,0,2,0,0,0.0,0.0
GR3_G3E23_A,34.725,128.525,12,0.19,10,0,0,0,0,0,2,0.0,0.0
GR3_G3E23_W,34.525,128.625,12,38.04,2,0,2,8,0,0,0,0.0,0.0
GR3_F2K32_T,37.325,126.475,11,7.17,8,0,0,0,0,0,3,0.0,0.0
GR3_F2K33_U,37.025,126.025,11,0.71,5,0,1,0,0,0,5,0.0,0.0
GR3_F2K34_J,37.175,126.475,11,24.11,0,0,10,1,0,0,0,0.0,0.0
GR3_F2K34_W,37.025,126.375,11,13.95,0,0,0,10,0,0,1,0.0,0.0
GR3_F2K41_R,37.325,126.625,11,11.56,0,0,4,0,3,0,4,0.0,0.0
GR3_F2N24_S,36.575,125.925,11,24.8,0,0,5,6,0,0,0,0.0,0.0
GR3_F2N42_G,36.425,125.825,11,29.87,0,0,8,3,0,0,0,0.0,0.0
GR3_F2N42_R,36.325,125.875,11,17.14,6,0,2,3,0,0,0,0.0,0.0
GR3_F2O41_F,36.425,126.525,11,90.56,1,0,2,0,2,0,6,0.0,0.0
GR3_F4F24_M,34.625,125.875,11,2.87,7,0,0,0,0,1,3,0.0,0.0
GR3_F4G41_P,34.325,126.525,11,0.17,11,0,0,0,0,0,0,0.0,0.0
GR3_F4G42_E,34.475,126.975,11,0.22,10,1,0,0,0,0,0,0.0,0.0
GR3_F4G43_R,34.075,126.625,11,11.94,2,0,9,0,0,0,0,0.0,0.0
GR3_F4G44_H,34.175,126.875,11,1.86,10,1,0,0,0,0,0,0.0,0.0
GR3_F4H22_G,34.925,127.825,11,2.87,10,0,1,0,0,0,0,0.0,0.0
GR3_F4H23_A,34.725,127.525,11,0.25,11,0,0,0,0,0,0,0.0,0.0
GR3_F4H24_J,34.675,127.975,11,19.24,0,0,4,6,0,0,1,0.0,0.0
GR3_F4H31_J,34.425,127.225,11,0.12,11,0,0,0,0,0,0,0.0,0.0
GR3_F4H31_L,34.375,127.075,11,0.09,11,0,0,0,0,0,0,16.987249544626593,203.65835610200364
GR3_F4H31_R,34.325,127.125,11,0.17,9,0,0,0,0,0,2,0.0,0.0
GR3_F4H31_V,34.275,127.075,11,2.53,5,0,3,0,1,0,2,0.0,0.0
GR3_F4J31_X,33.275,125.175,11,43.94,8,0,3,0,0,0,0,0.0,0.0
GR3_F4J34_K,33.125,125.275,11,1.68,11,0,0,0,0,0,0,0.0,0.0
GR3_F4J34_L,33.125,125.325,11,2.17,11,0,0,0,0,0,0,0.0,0.0
GR3_F4J34_S,33.075,125.425,11,1.48,10,0,0,0,0,0,1,0.0,0.0
GR3_F4J34_X,33.025,125.425,11,0.65,7,0,0,0,0,0,4,0.0,0.0
GR3_F4J43_I,33.175,125.675,11,31.28,10,0,1,0,0,0,0,0.0,0.0
GR3_F4J43_N,33.125,125.675,11,3.28,6,2,0,3,0,0,0,0.0,0.0
GR3_F4K22_I,33.925,126.925,11,12.13,4,0,2,2,0,0,3,0.0,0.0
GR3_F4K42_D,33.475,126.925,11,3.04,8,0,2,0,0,0,1,0.0,0.0
GR3_F4K42_S,33.325,126.925,11,1.72,4,0,0,0,0,0,7,0.0,0.0
GR3_F4N32_Q,32.325,125.325,11,1.05,7,0,0,0,0,0,4,0.0,0.0
GR3_G1N34_S,36.075,129.425,11,7.7,4,1,6,0,0,0,0,0.0,0.0
GR3_G3B23_C,35.725,129.625,11,6.37,5,0,6,0,0,0,0,0.0,0.0
GR3_G3B23_K,35.625,129.525,11,1.8,6,0,2,0,0,2,1,0.0,0.0
GR3_G3B32_T,35.325,129.475,11,8.15,5,0,1,5,0,0,0,0.0,0.0
GR3_G3B34_K,35.125,129.275,11,2.41,8,0,0,1,0,1,1,0.0,0.0
GR3_G3B41_V,35.275,129.575,11,20.12,0,0,5,6,0,0,0,0.0,0.0
GR3_G3B42_K,35.375,129.775,11,2.0,9,0,0,0,0,0,2,0.0,0.0
GR3_G3E11_T,34.825,128.225,11,0.5,7,0,0,0,0,1,3,0.0,0.0
GR3_G3E12_D,34.975,128.425,11,85.21,1,0,1,3,4,0,2,2.53620218579235,164.72392987249543
GR3_G3E21_F,34.925,128.525,11,9.1,9,0,0,1,1,0,0,0.0,0.0
GR3_G3E22_A,34.975,128.775,11,26.84,8,0,3,0,0,0,0,27.33048724954463,218.05771857923497
GR3_G3E23_V,34.525,128.575,11,15.27,5,0,2,1,0,0,3,0.0,0.0
GR3_G3E43_C,34.225,128.625,11,71.76,1,0,5,5,0,0,0,0.0,0.0
GR3_G3F11_G,34.925,129.075,11,28.36,0,0,7,3,0,0,1,0.0,0.0
GR3_F2K33_W,37.025,126.125,10,30.14,0,0,3,7,0,0,0,0.0,0.0
GR3_F2K41_G,37.425,126.575,10,9.5,0,0,1,2,0,0,7,0.0,0.0
GR3_F2N24_N,36.625,125.925,10,17.34,0,0,6,4,0,0,0,0.0,0.0
GR3_F2O11_W,36.775,126.125,10,1.72,7,0,0,0,1,0,2,0.0,0.0
GR3_F4C21_F,35.925,126.525,10,0.94,8,0,0,0,0,0,2,0.0,0.0
GR3_F4G32_M,34.375,126.375,10,0.19,10,0,0,0,0,0,0,16.63683970856102,208.3827413479053
GR3_F4G43_Q,34.075,126.575,10,11.57,2,0,8,0,0,0,0,0.0,0.0
GR3_F4G43_T,34.075,126.725,10,12.6,2,0,6,2,0,0,0,38.19581056466302,172.17634335154827
GR3_F4H22_F,34.925,127.775,10,24.64,5,0,4,0,0,0,1,0.0,0.0
GR3_F4H22_H,34.925,127.875,10,0.2,10,0,0,0,0,0,0,0.0,0.0
GR3_F4H31_U,34.275,127.025,10,3.67,3,0,5,0,2,0,0,0.0,0.0
GR3_F4H34_N,34.125,127.425,10,14.97,0,0,8,2,0,0,0,25.86919398907104,181.96664389799636
GR3_F4H42_L,34.375,127.825,10,20.86,0,3,3,2,0,0,2,0.0,0.0
GR3_F4I23_H,33.675,124.625,10,7.94,3,0,1,0,0,4,2,0.0,0.0
GR3_F4J34_M,33.125,125.375,10,0.66,9,0,0,0,0,0,1,0.0,0.0
GR3_F4J34_N,33.125,125.425,10,1.21,8,0,0,0,0,0,2,0.0,0.0
GR3_F4J41_H,33.425,125.625,10,1.83,6,0,0,0,0,0,4,0.0,0.0
GR3_F4J43_M,33.125,125.625,10,5.14,8,2,0,0,0,0,0,0.0,0.0
GR3_G1E41_V,38.275,128.575,10,0.15,10,0,0,0,0,0,0,0.0,0.0
GR3_G1E43_G,38.175,128.575,10,0.0,10,0,0,0,0,0,0,0.0,0.0
GR3_G1N34_R,36.075,129.375,10,19.31,4,1,2,0,1,0,2,0.0,0.0
GR3_G3A34_O,35.125,128.475,10,1.05,9,0,0,0,0,0,1,0.0,0.0
GR3_G3B14_N,35.625,129.425,10,7.51,8,0,0,0,0,1,1,0.0,0.0
GR3_G3B21_P,35.825,129.525,10,0.99,9,0,0,0,0,0,1,0.0,0.0
GR3_G3B32_O,35.375,129.475,10,9.28,3,0,3,4,0,0,0,0.0,0.0
GR3_G3B32_R,35.325,129.375,10,5.0,0,0,4,3,3,0,0,0.0,0.0
GR3_G3B32_S,35.325,129.425,10,11.44,1,0,2,7,0,0,0,0.0,0.0
GR3_G3B34_T,35.075,129.475,10,0.29,4,0,0,0,0,0,6,0.0,0.0
GR3_G3B43_U,35.025,129.525,10,18.31,4,0,2,1,0,1,2,0.0,0.0
GR3_G3C33_B,35.225,130.075,10,1.86,10,0,0,0,0,0,0,0.0,0.0
GR3_G3E11_F,34.925,128.025,10,0.18,10,0,0,0,0,0,0,0.0,0.0
GR3_G3E14_M,34.625,128.375,10,0.11,9,0,0,0,0,0,1,0.0,0.0
GR3_G3E21_U,34.775,128.525,10,0.07,10,0,0,0,0,0,0,0.0,0.0
